i,j,k,xi1,xi2,xi3,u1,Sig,delta,u2,u3,P_interp,Phi,resid,abs_resid
1,10,11,-0.8333333333333334,0.6666666666666665,0.8333333333333333,-2.3978952727983707,2.41415686865115,3.596842909197555,3.0054998889243523,-0.5913430202732026,0.33443514762841475,0.33333366597207137,-0.0011014816563433838,0.0011014816563433838
1,11,1,-0.8333333333333334,0.8333333333333333,-0.8333333333333334,-2.3978952727983707,3.596842909197555,-3.596842909197556,-4.440892098500626e-16,3.5968429091975556,0.49999999999167066,0.4902002638204789,-0.009799736171191786,0.009799736171191786
1,11,2,-0.8333333333333334,0.8333333333333333,-0.6666666666666667,-2.3978952727983707,3.596842909197555,-2.414156868651151,0.591343020273202,3.005499888924353,0.6655648523768155,0.6666540118087847,0.0010891594319691889,0.0010891594319691889
1,11,3,-0.8333333333333334,0.8333333333333333,-0.5,-2.3978952727983707,3.596842909197555,-1.6479184330021646,0.9744622380976953,2.62238067109986,0.6665977318371046,0.6666666664260266,6.893458892198723e-05,6.893458892198723e-05
1,11,4,-0.8333333333333334,0.8333333333333333,-0.33333333333333337,-2.3978952727983707,3.596842909197555,-1.039720770839918,1.2785610691788185,2.3182818400187366,0.6666666287157443,0.6666666670227266,3.830698225293361e-08,3.830698225293361e-08
1,11,5,-0.8333333333333334,0.8333333333333333,-0.16666666666666674,-2.3978952727983707,3.596842909197555,-0.5047083549318196,1.5460672771328676,2.0507756320646875,0.6666666666629119,0.6666666670243167,3.6140479497959177e-10,3.6140479497959177e-10
1,11,6,-0.8333333333333334,0.8333333333333333,0.0,-2.3978952727983707,3.596842909197555,0.0,1.7984214545987776,1.7984214545987776,0.6666666666634524,0.666666667024322,3.6086955645942e-10,3.6086955645942e-10
1,11,7,-0.8333333333333334,0.8333333333333333,0.16666666666666652,-2.3978952727983707,3.596842909197555,0.504708354931819,2.050775632064687,1.546067277132868,0.6666666666629683,0.6666666670243107,3.6134240044560784e-10,3.6134240044560784e-10
1,11,8,-0.8333333333333334,0.8333333333333333,0.33333333333333326,-2.3978952727983707,3.596842909197555,1.0397207708399177,2.318281840018736,1.2785610691788187,0.6666666287306172,0.6666666670231556,3.829253836240554e-08,3.829253836240554e-08
1,11,9,-0.8333333333333334,0.8333333333333333,0.5,-2.3978952727983707,3.596842909197555,1.6479184330021646,2.62238067109986,0.9744622380976953,0.6665977318696106,0.6666666664613821,6.893459177148564e-05,6.893459177148564e-05
